Date_Forecast,h1,h2,h3,h4
2008-01-04,3.534651317478411,,,
2008-01-11,3.654121965448056,,,
2008-01-18,3.582582250432011,,,
2008-01-25,3.502088050630912,,,
2008-02-01,3.8560777001754696,,,
2008-02-08,3.772575346235543,,,
2008-02-15,6.339458193013933,,,
2008-02-22,4.464935385327798,,,
2008-02-29,6.6861155576995905,,,
2008-03-07,8.6793788296507,,,
2008-03-14,7.688259989708164,,,
2008-03-21,7.0025179440245555,,,
2008-03-28,6.7278632217378815,,,
2008-04-04,6.85951397231308,,,
2008-04-11,5.368711036473751,,,
2008-04-18,6.847967473060089,,,
2008-04-25,6.643665154760169,,,
2008-05-02,7.122044039476462,,,
2008-05-09,7.3158167356917145,,,
2008-05-16,8.135100067974639,,,
2008-05-23,7.764233128730115,,,
2008-05-30,7.5151615681674,,,
2008-06-06,7.29657750995234,,,
2008-06-13,7.356208021517097,,,
2008-06-20,7.726110583780347,,,
2008-06-27,7.409682442136548,,,
2008-07-04,7.553526526869636,,,
2008-07-11,7.261232348299837,,,
2008-07-18,7.445290232365246,,,
2008-07-25,7.501569169944776,,,
2008-08-01,7.360733847355664,,,
2008-08-08,7.343050976092224,,,
2008-08-15,6.416697526060485,,,
2008-08-22,6.96529106248401,,,
2008-08-29,6.9788926302684695,,,
2008-09-05,7.003204386315484,,,
2008-09-12,6.6639465329537755,,,
2008-09-19,6.576037360078715,,,
2008-09-26,6.516873127063233,,,
2008-10-03,6.86682324158421,,,
2008-10-10,6.822562043521299,,,
2008-10-17,6.817786796926761,,,
2008-10-24,6.8838599443503465,,,
2008-10-31,8.717872628277483,,,
2008-11-07,15.394837240238926,,,
2008-11-14,16.44270864926107,,,
2008-11-21,45.28892019799083,,,
2008-11-28,66.9712191299289,,,
2008-12-05,58.231504945565675,,,
2008-12-12,58.755836907076926,,,
2008-12-19,65.31172566103973,,,
2008-12-26,77.448922017254,,,
2009-01-02,64.64586594170183,,,
2009-01-09,54.98789084261791,,,
2009-01-16,46.61029198899078,,,
2009-01-23,18.510398933911034,,,
2009-01-30,38.61822772187495,,,
2009-02-06,32.278618640762616,,,
2009-02-13,27.337812811375663,,,
2009-02-20,19.317297575731086,,,
2009-02-27,13.600596127221044,,,
2009-03-06,17.21087503077536,,,
2009-03-13,18.38731509103515,,,
2009-03-20,25.4737992826853,,,
2009-03-27,23.83815366727999,,,
2009-04-03,30.666144641242518,,,
2009-04-10,60.57176496390469,,,
2009-04-17,39.695463895974925,,,
2009-04-24,38.44551484023953,,,
2009-05-01,27.98017735266419,,,
2009-05-08,23.262709704936164,,,
2009-05-15,13.882712043236474,,,
2009-05-22,8.109146035960013,,,
2009-05-29,5.5396043117692075,,,
2009-06-05,17.892013860972163,,,
2009-06-12,19.964873528583816,,,
2009-06-19,14.928687138488385,,,
2009-06-26,14.58060709225181,,,
2009-07-03,12.414452753576718,,,
2009-07-10,8.973972243326326,,,
2009-07-17,9.149638364616386,,,
2009-07-24,7.058789741243074,,,
2009-07-31,7.715251088119818,,,
2009-08-07,7.390580359576267,,,
2009-08-14,31.544838335848144,,,
2009-08-21,18.561180530946203,,,
2009-08-28,8.244980438082772,,,
2009-09-04,8.892511057096662,,,
2009-09-11,6.607878830378475,,,
2009-09-18,7.906436367548072,,,
2009-09-25,6.044527744064551,,,
2009-10-02,7.105244863002005,,,
2009-10-09,9.0360121540297,,,
2009-10-16,8.729972073249769,,,
2009-10-23,10.136563803133988,,,
2009-10-30,9.047094271001903,,,
2009-11-06,16.512949917707534,,,
2009-11-13,8.312620658662626,,,
2009-11-20,6.944781728324651,,,
2009-11-27,17.411485318692943,,,
2009-12-04,12.312276321602198,,,
2009-12-11,9.033082178881589,,,
2009-12-18,6.429603269300924,,,
2009-12-25,5.813449474680861,,,
2010-01-01,6.169777797337791,,,
2010-01-08,5.595868910571458,,,
2010-01-15,5.705276894386906,,,
2010-01-22,7.364815063831592,,,
2010-01-29,6.792401946230308,,,
2010-02-05,8.332904312201414,,,
2010-02-12,6.190989505653212,,,
2010-02-19,18.247111075737433,,,
2010-02-26,9.338541677229129,,,
2010-03-05,6.2310465190530895,,,
2010-03-12,4.755244743553601,,,
2010-03-19,9.515460073704041,,,
2010-03-26,5.490031046445174,,,
2010-04-02,9.0542994323987,,,
2010-04-09,5.011045717468791,,,
2010-04-16,4.373867095978621,,,
2010-04-23,4.1793888196695015,,,
2010-04-30,4.167045747330352,,,
2010-05-07,4.356210900816727,,,
2010-05-14,4.311007419994016,,,
2010-05-21,5.436464255669154,,,
2010-05-28,11.395213752811108,,,
2010-06-04,46.719378563771826,,,
2010-06-11,9.962237521205306,,,
2010-06-18,23.338413521027356,,,
2010-06-25,6.318780913670385,,,
2010-07-02,10.310710822571238,,,
2010-07-09,7.454019442561211,,,
2010-07-16,6.516942666681673,,,
2010-07-23,18.73799067845267,,,
2010-07-30,32.77838830845178,,,
2010-08-06,24.676488351373518,,,
2010-08-13,8.494800301960177,,,
2010-08-20,10.864120117816551,,,
2010-08-27,4.906230165054806,,,
2010-09-03,4.9986346560010855,,,
2010-09-10,20.361254403668642,,,
2010-09-17,6.8489053765606425,,,
2010-09-24,5.66240052159528,,,
2010-10-01,8.37667802834808,,,
2010-10-08,7.31474205375155,,,
2010-10-15,6.6592648455584404,,,
2010-10-22,6.298350960589596,,,
2010-10-29,5.8595631574371865,,,
2010-11-05,4.198930666515585,,,
2010-11-12,3.5155536782483052,,,
2010-11-19,3.1219773108834725,,,
2010-11-26,3.5545118723654707,,,
2010-12-03,8.738311034696832,,,
