Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02 00:00:00-05:00,51.051036841459634,51.44766762724436,50.37187766017384,50.77937316894531,9058000,0.0,0.0
2008-01-03 00:00:00-05:00,50.96411145751692,51.529168302134465,50.77937798714425,51.404205322265625,10479200,0.0,0.0
2008-01-04 00:00:00-05:00,51.007578817607964,51.73020531110858,50.63811599083963,50.7196159362793,13103800,0.0,0.0
2008-01-07 00:00:00-05:00,50.93152033011408,50.93152033011408,49.52430404950457,50.0567626953125,12892200,0.0,0.0
2008-01-08 00:00:00-05:00,50.208884320297585,50.73590838790307,49.21459423697156,49.41562271118164,10987700,0.0,0.0
2008-01-09 00:00:00-05:00,49.37758618660971,50.39360978453162,49.19829131836583,50.29581069946289,12448200,0.0,0.0
2008-01-10 00:00:00-05:00,49.76878951842765,50.04045322119774,48.975532003770105,49.93178939819336,13786500,0.0,0.0
2008-01-11 00:00:00-05:00,49.76879106761718,50.2958193306378,49.024435151822885,49.26349639892578,10575000,0.0,0.0
2008-01-14 00:00:00-05:00,49.562332012591085,49.90462682319272,49.122238092494754,49.39390182495117,9968600,0.0,0.0
2008-01-15 00:00:00-05:00,48.87772383050246,48.92662544345693,47.89430273553605,47.95949935913086,13693400,0.0,0.0
2008-01-16 00:00:00-05:00,47.64436921190632,48.01926220611912,46.29691577029576,46.861976623535156,15709400,0.0,0.0
2008-01-17 00:00:00-05:00,46.99782414738865,47.3618525418761,44.607182552458035,44.96034622192383,18910400,0.0,0.0
2008-01-18 00:00:00-05:00,44.96035306381076,46.171975278447825,43.94432909140442,45.34611511230469,18869200,0.0,0.0
2008-01-22 00:00:00-05:00,42.504508152790365,44.753883459691245,41.74927918515526,44.145355224609375,20897900,0.0,0.0
2008-01-23 00:00:00-05:00,42.79246524069487,44.27031636480045,41.51021230332437,44.25401306152344,20405300,0.0,0.0
2008-01-24 00:00:00-05:00,44.471345589509546,45.47107013246209,44.0855836439696,45.460201263427734,13949600,0.0,0.0
2008-01-25 00:00:00-05:00,46.0089761438476,46.18284079042467,44.2485960790972,44.45505905151367,14050100,0.0,0.0
2008-01-28 00:00:00-05:00,44.080156543256216,45.23744671767835,43.5911651320882,45.02011489868164,9749400,0.0,0.0
2008-01-29 00:00:00-05:00,45.21026375256487,45.48736183388973,44.498506322077276,44.87883377075195,9187700,0.0,0.0
2008-01-30 00:00:00-05:00,44.61261739167224,46.307800533306306,44.51481828455375,45.22114562988281,9415400,0.0,0.0
2008-01-31 00:00:00-05:00,44.6071674476235,45.91115370741836,44.13990566998653,45.23199462890625,12634300,0.0,0.0
2008-02-01 00:00:00-05:00,46.025256207330834,46.14478887948551,44.29747518540974,44.819068908691406,16063300,0.0,0.0
2008-02-04 00:00:00-05:00,44.82995800603625,45.08532262173603,44.0149666684039,44.563724517822266,10299100,0.0,0.0
2008-02-05 00:00:00-05:00,43.86283315028193,44.00409532294546,43.25430482675417,43.32493591308594,15682500,0.0,0.0
2008-02-06 00:00:00-05:00,43.53682308853052,43.7650237470261,41.96660723347234,42.11330795288086,15108200,0.0,0.0
2008-02-07 00:00:00-05:00,41.89596752066929,43.05325315213036,41.56997197683248,42.78158950805664,12570900,0.0,0.0
2008-02-08 00:00:00-05:00,43.080420401448464,43.183653910826315,42.59142502184044,43.06412124633789,8281700,0.0,0.0
2008-02-11 00:00:00-05:00,43.58573082892642,43.721562698054086,42.65664134152436,43.6998291015625,17626800,0.0,0.0
2008-02-12 00:00:00-05:00,43.9225757241495,44.73213636328356,43.68894897107679,44.074710845947266,12330400,0.0,0.0
2008-02-13 00:00:00-05:00,44.28267090252457,45.0323913935679,43.93791111911038,44.939361572265625,12149400,0.58,0.0
2008-02-14 00:00:00-05:00,45.41000295235566,45.73834630471793,45.20204896160684,45.3333854675293,11190400,0.0,0.0
2008-02-15 00:00:00-05:00,45.1582586153358,45.79853281034587,44.709521826802735,45.7492790222168,26988700,0.0,0.0
2008-02-19 00:00:00-05:00,46.18158776584478,46.78355098947706,46.1049744923885,46.4223747253418,12002500,0.0,0.0
2008-02-20 00:00:00-05:00,45.96270087782753,47.53328167452732,45.80400072693219,47.248714447021484,13217100,0.0,0.0
2008-02-21 00:00:00-05:00,46.827324352419346,47.34173126340195,46.14874795449801,46.39500427246094,12189400,0.0,0.0
