Date,AAPL,MSFT,NVDA,JNJ,NVS,JPM,GS,AMZN,DIS,BA,CAT,XOM,CVX,RIO,BHP
2009-01-02,2.751009464263916,15.097107887268066,1.9978597164154053,39.30023956298828,25.246994018554688,21.878047943115234,68.16007995605469,2.7179999351501465,20.597497940063477,33.94110107421875,31.254064559936523,47.29155731201172,42.84189987182617,9.011591911315918,23.016401290893555
2009-01-05,2.8671135902404785,15.238203048706055,2.034559726715088,38.91145324707031,24.961599349975586,20.412534713745117,69.74703979492188,2.703000068664551,20.2358341217041,34.63117218017578,30.701061248779297,47.285762786865234,42.9202880859375,9.206509590148926,23.041690826416016
2009-01-06,2.8198230266571045,15.416431427001953,2.1033718585968018,38.67817306518555,24.564090728759766,20.85218620300293,69.69202423095703,2.868000030517578,20.933326721191406,34.73617935180664,30.514535903930664,46.515350341796875,43.306610107421875,10.625334739685059,24.275712966918945
2009-01-07,2.7588918209075928,14.488177299499512,1.977215051651001,38.3153076171875,24.818906784057617,19.603002548217773,66.38459014892578,2.809999942779541,19.960281372070312,33.57355880737305,29.095388412475586,45.327850341796875,41.40861511230469,9.827528953552246,22.455032348632812
2009-01-08,2.810122489929199,14.941166877746582,1.9267535209655762,38.24403381347656,25.28775978088379,18.995864868164062,67.0995101928711,2.8580000400543213,19.719179153442383,33.5960578918457,29.328582763671875,45.81441879272461,41.565391540527344,9.833874702453613,22.662385940551758
2009-01-09,2.745856761932373,14.495599746704102,1.8189462423324585,38.26346206665039,24.543704986572266,18.1235408782959,65.92896270751953,2.7755000591278076,19.211124420166016,33.34102249145508,28.78226089477539,44.93391799926758,40.770355224609375,9.075960159301758,22.192041397094727
2009-01-12,2.687654495239258,14.458473205566406,1.7455463409423828,37.80339431762695,24.4825496673584,17.38379669189453,61.01884078979492,2.5959999561309814,18.823633193969727,32.80847930908203,27.44308090209961,44.3372802734375,39.65058898925781,8.380597114562988,20.65964126586914
2009-01-13,2.6588549613952637,14.718379020690918,1.7547215223312378,38.12739562988281,24.283794403076172,18.38872528076172,61.21523666381836,2.572499990463257,18.25530433654785,31.848371505737305,27.582998275756836,45.13666915893555,40.210472106933594,8.33436107635498,20.841703414916992
2009-01-14,2.586707830429077,14.17628288269043,1.6767337322235107,37.550682067871094,23.962732315063477,18.081666946411133,59.463314056396484,2.424499988555908,17.910865783691406,30.90327262878418,26.2171688079834,43.50312423706055,39.0179328918457,7.52476692199707,19.496429443359375
2009-01-15,2.5275943279266357,14.287678718566895,1.7363715171813965,37.33684158325195,23.937252044677734,16.98601531982422,58.002079010009766,2.572000026702881,18.393077850341797,30.72325325012207,26.526945114135742,44.40679931640625,39.62260055541992,7.83482551574707,20.118492126464844
2009-01-16,2.495764970779419,14.636699676513672,1.832708477973938,37.22020721435547,24.125810623168945,15.925265312194824,57.38927459716797,2.5794999599456787,18.479190826416016,31.848371505737305,26.634693145751953,45.240943908691406,40.165679931640625,8.047877311706543,20.457340240478516
2009-01-20,2.370567560195923,13.723296165466309,1.6537964344024658,36.773094177246094,23.656949996948242,12.624361991882324,46.50850296020508,2.421999931335449,17.428651809692383,30.27321434020996,25.806365966796875,44.19247055053711,38.24530792236328,7.177541732788086,18.363563537597656
2009-01-21,2.5109219551086426,14.391636848449707,1.734078049659729,36.52039337158203,23.3460750579834,15.7926664352417,54.91459274291992,2.5269999504089355,18.28114128112793,31.705862045288086,26.634693145751953,45.912899017333984,39.8801383972168,7.931832790374756,19.622861862182617
2009-01-22,2.678558826446533,12.705931663513184,1.7019652128219604,36.850860595703125,23.14732551574707,16.12066650390625,55.80233383178711,2.496999979019165,18.0572509765625,31.698362350463867,25.072317123413086,45.316253662109375,39.163490295410156,7.766829490661621,18.89965057373047
2009-01-23,2.678558826446533,12.772767066955566,1.768484115600586,36.267677307128906,22.979145050048828,16.94414710998535,58.85054016113281,2.5315001010894775,17.74725341796875,31.488340377807617,24.015012741088867,45.20618438720703,39.65058898925781,7.80581521987915,19.15757942199707
2009-01-26,2.7173614501953125,13.092083930969238,1.828121542930603,36.643497467041016,23.5091609954834,17.097681045532227,58.29273223876953,2.4814999103546143,17.96253204345703,32.26091384887695,22.00141143798828,45.53057098388672,39.91374588012695,8.023397445678711,19.228384017944336
2009-01-27,2.750403642654419,13.114364624023438,1.9359278678894043,37.28501892089844,23.060688018798828,17.488479614257812,61.482337951660156,2.421999931335449,18.29836654663086,32.41843032836914,21.765705108642578,45.71592712402344,40.36164093017578,8.386039733886719,20.18929100036621
2009-01-28,2.8555939197540283,13.396553039550781,2.016209602355957,37.94594192504883,21.89363670349121,19.30293083190918,68.89855194091797,2.5179998874664307,19.185293197631836,32.43343734741211,22.223651885986328,45.9071159362793,41.31343460083008,8.224663734436035,21.05411720275879
2009-01-29,2.819216728210449,13.062385559082031,1.8992284536361694,37.7645263671875,21.027265548706055,17.746692657470703,64.98617553710938,2.5,18.29836654663086,30.535730361938477,21.44917869567871,44.60375213623047,39.53862762451172,8.157574653625488,19.99711799621582
2009-01-30,2.7322163581848145,12.698509216308594,1.8235341310501099,37.382205963134766,21.027265548706055,17.80252456665039,63.42282485961914,2.940999984741211,17.80753517150879,31.735870361328125,20.77574348449707,44.302528381347656,39.48264694213867,7.864743709564209,18.985624313354492
2009-02-02,2.7740492820739746,13.240605354309082,1.9221655130386353,37.382205963134766,20.848894119262695,17.586183547973633,65.65399169921875,3.057499885559082,17.394201278686523,30.603248596191406,20.398616790771484,44.424163818359375,39.35386657714844,8.165732383728027,19.066543579101562
