,Asset,h1,h2,h3,h4
0,AAPL,0.9826296843493042,0.9855363401722702,0.868641387409881,0.8782693208625384
1,MSFT,1.0274334391857662,1.0488478008354254,0.9646823028637674,0.9512186878782072
2,NVDA,0.9570318744633958,0.8468656721752396,0.8426687152757405,0.8268032743801347
3,JNJ,1.5510817480153565,1.5078962605685897,1.3089117887011896,1.1928524890613679
4,NVS,1.2351040288109776,1.1220992202194686,1.0519120674707074,1.034489756377975
5,JPM,1.138151241612802,1.0451823258220863,0.9681725450560053,0.9467440927775149
6,GS,1.0863612750670755,1.007007140871055,0.9747075518746156,0.9315555043395071
7,AMZN,1.0104147185342667,0.9755213126880335,0.8599226525616146,0.8859348942014643
8,DIS,1.217461466047043,1.0748797241109513,1.0551192366920887,1.0776841985306334
9,MCD,1.321093052130348,1.1545606768674523,1.1485016281097304,1.1035901621086328
10,NEE,1.2767239400708947,1.1104079788565904,1.0299667506030739,1.1272511108149446
11,BA,1.0466789058825892,0.9913481903042836,0.8663581316732728,0.8872218799691136
12,CAT,1.057402262748888,0.9259590921702904,0.9033637547754595,0.9459206388416715
13,XOM,1.23178816633263,1.0322275243576926,0.9966863800572371,0.9467696785178297
14,CVX,1.3267313581916416,1.2097007519182343,1.0285103824062245,0.9767111066765344
15,RIO,0.8938428329012951,0.8434329610291027,0.795346271384144,0.767981005533041
16,BHP,1.0156364373647346,0.9153225371171764,0.8773372350649437,0.8662627444052764
