Date_Forecast,h1
2007-12-28,0.030458860099315643
2008-01-04,0.03737302497029305
2008-01-11,0.036535270512104034
2008-01-18,0.0457887202501297
2008-01-25,0.040451709181070335
2008-02-01,0.037898339331150055
2008-02-08,0.034899432212114334
2008-02-15,0.0441141240298748
2008-02-22,0.037517104297876365
2008-02-29,0.04434958100318909
2008-03-07,0.03391572088003158
2008-03-14,0.030771056190133095
2008-03-21,0.039969082921743386
2008-03-28,0.03746841475367546
2008-04-04,0.042920485138893134
2008-04-11,0.03561755269765854
2008-04-18,0.03782157972455025
2008-04-25,0.04088524729013443
2008-05-02,0.03763524815440178
2008-05-09,0.037465158849954605
2008-05-16,0.0380060039460659
2008-05-23,0.0349106602370739
2008-05-30,0.041505854576826096
2008-06-06,0.03169383481144905
2008-06-13,0.05500773340463638
2008-06-20,0.03515072539448738
2008-06-27,0.040491338819265366
2008-07-04,0.03789253905415535
2008-07-11,0.031158430501818657
2008-07-18,0.03560132160782814
2008-07-25,0.03660454228520394
2008-08-01,0.038119569420814514
2008-08-08,0.03605691343545914
2008-08-15,0.03273012489080429
2008-08-22,0.03828651458024978
2008-08-29,0.04586875811219215
2008-09-05,0.040608018636703484
2008-09-12,0.047564052045345306
2008-09-19,0.039584066718816764
2008-09-26,0.049072332680225365
2008-10-03,0.03787508979439735
2008-10-10,0.06857753545045853
2008-10-17,0.05359035730361938
2008-10-24,0.042847853153944016
2008-10-31,0.048598870635032654
2008-11-07,0.07022690027952194
2008-11-14,0.04768988490104675
2008-11-21,0.04530423507094383
2008-11-28,0.04169169068336487
2008-12-05,0.046510543674230576
2008-12-12,0.056725982576608665
2008-12-19,0.047655563801527016
2008-12-26,0.05456575006246567
2009-01-02,0.05600583553314209
2009-01-09,0.04926953464746475
2009-01-16,0.044610001146793365
2009-01-23,0.05602740868926048
2009-01-30,0.056787729263305664
2009-02-06,0.04970872774720192
2009-02-13,0.04968046769499779
2009-02-20,0.04869406297802925
2009-02-27,0.04910341650247574
2009-03-06,0.05408264324069023
2009-03-13,0.0572250559926033
2009-03-20,0.05551408603787422
2009-03-27,0.05821998044848443
2009-04-03,0.05431108549237251
2009-04-10,0.060841575264930725
2009-04-17,0.056826114654541016
2009-04-24,0.05020695924758911
2009-05-01,0.06477190554141997
2009-05-08,0.0611814484000206
2009-05-15,0.055237408727407455
2009-05-22,0.05374985933303833
2009-05-29,0.055922966450452805
2009-06-05,0.059945650398731225
2009-06-12,0.05556733161211014
2009-06-19,0.057440966367721565
2009-06-26,0.05131439119577408
2009-07-03,0.05328311398625374
2009-07-10,0.05174191296100617
2009-07-17,0.045242123305797584
2009-07-24,0.054963529109954834
2009-07-31,0.04371549189090729
2009-08-07,0.0669490396976471
2009-08-14,0.04936274886131286
2009-08-21,0.057258889079093926
2009-08-28,0.05035873502492905
2009-09-04,0.07363259047269821
2009-09-11,0.046085964888334274
2009-09-18,0.056714113801717765
2009-09-25,0.0506608784198761
2009-10-02,0.04469603300094605
2009-10-09,0.05404109135270119
2009-10-16,0.052030228078365326
2009-10-23,0.04363403841853142
2009-10-30,0.061231885105371475
2009-11-06,0.060001756995916374
2009-11-13,0.03863901272416115
2009-11-20,0.04868323728442192
2009-11-27,0.052485935389995575
2009-12-04,0.046703904867172234
2009-12-11,0.046174287796020515
2009-12-18,0.04462762549519539
2009-12-25,0.0396832711994648
2010-01-01,0.038820285350084305
2010-01-08,0.05136052519083023
2010-01-15,0.043752964586019516
2010-01-22,0.03741765394806862
2010-01-29,0.04546073079109192
2010-02-05,0.05037117376923561
2010-02-12,0.03771265596151352
2010-02-19,0.05151602625846863
2010-02-26,0.04976913332939148
2010-03-05,0.03999526798725128
2010-03-12,0.047706671059131615
2010-03-19,0.04182644933462143
2010-03-26,0.04713262617588043
2010-04-02,0.044032979756593704
2010-04-09,0.0443677119910717
2010-04-16,0.06994062662124634
2010-04-23,0.05261757597327232
2010-04-30,0.040149930864572525
2010-05-07,0.03916764631867409
2010-05-14,0.0401945598423481
2010-05-21,0.038195032626390464
2010-05-28,0.033915240317583084
2010-06-04,0.04490523412823677
2010-06-11,0.05539996549487114
2010-06-18,0.033836815506219864
2010-06-25,0.049477316439151764
2010-07-02,0.038807477802038186
2010-07-09,0.04860426113009453
2010-07-16,0.04811212420463562
2010-07-23,0.041957322508096695
2010-07-30,0.05326904356479645
2010-08-06,0.0499209426343441
2010-08-13,0.04147125408053398
2010-08-20,0.04096714034676552
2010-08-27,0.04021857678890228
2010-09-03,0.046562548726797104
2010-09-10,0.08284892141819
2010-09-17,0.03851186111569405
2010-09-24,0.02694331482052803
2010-10-01,0.0409063994884491
2010-10-08,0.029825743287801743
2010-10-15,0.04054510593414306
2010-10-22,0.04789590835571289
2010-10-29,0.03348325565457344
2010-11-05,0.03249242529273033
2010-11-12,0.03735397756099701
2010-11-19,0.03926326334476471
2010-11-26,0.029451938346028324
2010-12-03,0.02710326388478279
2010-12-10,0.040500760078430176
2010-12-17,0.041963014751672745
2010-12-24,0.023646129295229912
2010-12-31,0.02919582836329937
2011-01-07,0.02898244187235832
2011-01-14,0.042413778603076935
2011-01-21,0.033542606979608536
2011-01-28,0.040996938943862915
2011-02-04,0.025508975610136986
2011-02-11,0.031108111143112183
2011-02-18,0.03126287087798118
2011-02-25,0.02394437231123447
2011-03-04,0.02738966979086399
2011-03-11,0.02645874209702015
2011-03-18,0.0380115881562233
2011-03-25,0.032227374613285065
2011-04-01,0.03673863410949707
2011-04-08,0.031630925834178925
2011-04-15,0.03459325432777405
2011-04-22,0.025212062522768974
