,h1,h2,h3,h4,TrueSD
2008-02-08,0.040072754,0.017986996,0.022099822999999998,0.024326353999999998,0.026638977245014562
2008-02-15,0.032895232999999996,0.021985652,0.025256049,0.029660462999999998,0.018959918836672276
2008-02-22,0.03883143,0.027049128,0.037315648,0.040034197,0.013652787874666669
2008-02-29,0.030419385,0.034834437,0.036121644,0.039412126,0.025984514875138143
2008-03-07,0.024086182999999997,0.03536199,0.026489277999999998,0.02546451,0.025200359364109585
2008-03-14,0.04092866,0.02187817,0.035069823,0.027699542999999997,0.025722052762364514
2008-03-21,0.03491313,0.038542837,0.049068965,0.039585035,0.03310137605245789
2008-03-28,0.02342961,0.04409422,0.045055952,0.030285591,0.035881077407926565
2008-04-04,0.04379301,0.048205532,0.028969013999999998,0.037720796,0.03340090527097369
2008-04-11,0.03484871,0.031193435,0.035384096000000004,0.024073154,0.028705791273418907
2008-04-18,0.02546387,0.028672718,0.033956394,0.030642722,0.024916356868554423
2008-04-25,0.023464035,0.021104215,0.02071413,0.02509392,0.018561774042133744
2008-05-02,0.024840944,0.03092371,0.027186725,0.02289239,0.027941098287963446
2008-05-09,0.036351923,0.046049777,0.03109584,0.030684816,0.02921856804002812
2008-05-16,0.027950213999999998,0.03131254,0.020425063,0.027960755,0.03149674965257922
2008-05-23,0.031095859,0.036694963,0.056192227000000004,0.053931452000000005,0.02471576816277897
2008-05-30,0.02304721,0.038439255,0.034469355,0.033481437999999995,0.023541458275470932
2008-06-06,0.034094833,0.02829155,0.035147645,0.024821917000000002,0.01491446011897267
2008-06-13,0.035977352000000004,0.037919875,0.050857708,0.022364182000000003,0.015004764092775609
2008-06-20,0.049678713,0.036615222999999995,0.03994859,0.04631195,0.009351173705350206
2008-06-27,0.055120047,0.05075042,0.03704241,0.03912086,0.020175214906671943
2008-07-04,0.025050232000000002,0.026990077,0.033651903,0.032479062999999996,0.015547040149046938
2008-07-11,0.036315296000000004,0.030482171000000002,0.05103669,0.03247922,0.014672679274428847
2008-07-18,0.032592006,0.030516876000000002,0.037730627,0.029197792,0.014000591418547537
2008-07-25,0.029689432999999998,0.045023907,0.033001862,0.03592707,0.014026160653704649
2008-08-01,0.03559116,0.025848918,0.032109145,0.034438208,0.014593027698880129
2008-08-08,0.031698715,0.035479765,0.026877386,0.0299459,0.0162455027766159
2008-08-15,0.031535614,0.019105346999999998,0.03193406,0.03661028,0.014763720172198276
2008-08-22,0.04755418,0.044642318,0.025945147000000002,0.035726283,0.01661974992301476
2008-08-29,0.049719553,0.031100241,0.042037986,0.029772000000000003,0.017651261701701254
2008-09-05,0.029689962,0.03923855,0.032453824,0.02611449,0.0220981502865417
2008-09-12,0.03850267,0.023429777000000002,0.04603629,0.037718244,0.049031283424593536
2008-09-19,0.035301648,0.023756456000000002,0.031065417,0.032475832999999996,0.08923517148308091
2008-09-26,0.031129446,0.05084826,0.039877873,0.025316104,0.10398693229607514
2008-10-03,0.03823778,0.025633512,0.036183447,0.02905155,0.1010789088261784
2008-10-10,0.028861525,0.0499385,0.04051907,0.033683363,0.13322501091918587
2008-10-17,0.02968699,0.028731804,0.03386526,0.036721665,0.07785017632957329
2008-10-24,0.045098577,0.04095511,0.05522613,0.03384661,0.07996090140497558
2008-10-31,0.03448155,0.034923308,0.04702718,0.03384528,0.08407582681318466
2008-11-07,0.032847427,0.038213182000000005,0.039141055,0.032493352999999996,0.09079964922661346
2008-11-14,0.038330864,0.041835452999999995,0.03700646,0.03352486,0.08992599552949929
2008-11-21,0.04279312,0.03235413,0.03684393,0.036001462000000005,0.08385428769753941
